bin,lo,hi,confidence,accuracy,gap,n
0,0.0,0.125,0.054690173051887336,0.4,0.3453098269481127,5
1,0.125,0.25,0.20308419807876282,0.3333333333333333,0.1302491352545705,21
2,0.25,0.375,0.31984121290069883,0.35443037974683544,0.03458916684613661,79
3,0.375,0.5,0.44112377098595246,0.5076923076923077,0.06656853670635521,195
4,0.5,0.625,0.561406096493828,0.5511111111111111,0.010294985382716892,225
5,0.625,0.75,0.6766713065963107,0.6491228070175439,0.027548499578766816,114
6,0.75,0.875,0.7924167502813987,0.7,0.09241675028139873,20
7,0.875,1.0,0.9999999999934921,1.0,6.507905325747743e-12,1
