model,feature,importance_type,importance,test_rmse,test_r2,importance_std
RandomForest,HuMT,native,0.001927829686377687,0.013006085081924136,0.9998259116453718,
RandomForest,E,native,0.6676984435152911,0.013006085081924136,0.9998259116453718,
RandomForest,D,native,0.0042610760039260825,0.013006085081924136,0.9998259116453718,
RandomForest,F,native,0.32611265079440505,0.013006085081924136,0.9998259116453718,
RandomForest,HuMT,permutation,7.001234847909598e-05,0.013006085081924136,0.9998259116453718,9.56218647868037e-05
RandomForest,E,permutation,1.1940621057937049,0.013006085081924136,0.9998259116453718,0.0969398686123932
RandomForest,D,permutation,0.0,0.013006085081924136,0.9998259116453718,0.0
RandomForest,F,permutation,0.5317618483657166,0.013006085081924136,0.9998259116453718,0.04733889613331175
XGBoost,HuMT,native,0.012823008000850677,0.04048453607601896,0.9983132338652516,
XGBoost,E,native,0.6689696311950684,0.04048453607601896,0.9983132338652516,
XGBoost,D,native,0.013045769184827805,0.04048453607601896,0.9983132338652516,
XGBoost,F,native,0.30516156554222107,0.04048453607601896,0.9983132338652516,
XGBoost,HuMT,permutation,0.00031583070755004884,0.04048453607601896,0.9983132338652516,0.0004801490284075991
XGBoost,E,permutation,1.190528907775879,0.04048453607601896,0.9983132338652516,0.09734790298007373
XGBoost,D,permutation,5.931854248046875e-06,0.04048453607601896,0.9983132338652516,3.680191229206607e-05
XGBoost,F,permutation,0.5309279704093933,0.04048453607601896,0.9983132338652516,0.04660564363784736
LightGBM,HuMT,native,3632.0,0.10632756466373973,0.9883649494906503,
LightGBM,E,native,970.0,0.10632756466373973,0.9883649494906503,
LightGBM,D,native,0.0,0.10632756466373973,0.9883649494906503,
LightGBM,F,native,615.0,0.10632756466373973,0.9883649494906503,
LightGBM,HuMT,permutation,-0.0025636297491195294,0.10632756466373973,0.9883649494906503,0.001606834602991413
LightGBM,E,permutation,1.1455767409074542,0.10632756466373973,0.9883649494906503,0.09425081478644035
LightGBM,D,permutation,0.0,0.10632756466373973,0.9883649494906503,0.0
LightGBM,F,permutation,0.5359027500968268,0.10632756466373973,0.9883649494906503,0.04547744702902221
