specification,predictors,r2,adj_r2,aic,bic,cv_r2_mean,cv_r2_std
HuMT+E+D+F,HuMT+E+D+F,0.8860403624123617,0.8853444256942693,394.70831333091405,417.1695125060164,0.8806032666944865,0.03855822055890923
HuMT+E+F,HuMT+E+F,0.8854259877101438,0.8849020211905255,396.2569223040168,414.2258816440987,0.8804583899616331,0.03796016539195641
HuMT+E+D,HuMT+E+D,0.6380189047514153,0.6363635034011932,1155.5017675705847,1173.4707269106666,0.622516125477653,0.05235683084186199
HuMT+E,HuMT+E,0.6365363761398549,0.6354299419728529,1156.1993411278922,1169.6760606329537,0.6214721292438234,0.05469268726191349
HuMT+F,HuMT+F,0.3729542360062922,0.3710454208952002,1516.1239435766738,1529.6006630817353,0.338051221529778,0.09423925669145068
HuMT+D+F,HuMT+D+F,0.3729899283216903,0.3701225042134053,1518.0863743911573,1536.0553337312392,0.33499487942616407,0.09176031644386085
HuMT,HuMT,0.04318651773173743,0.04173239389850292,1793.0326487956452,1802.017128465686,0.012574441865651775,0.06282227236746346
HuMT+D,HuMT+D,0.04359926584121043,0.04068784808121406,1794.7478780113395,1808.224597516401,0.009211261632607992,0.06128777667289824
