specification,outcome,term,coefficient,cluster_se,p_value,ci_low,ci_high,r_squared,adjusted_r_squared
HuMT_only,OA_mean,Intercept,4.316969696969706,0.018672152579492274,0.0,4.280372950400064,4.353566443539348,0.033690113492463314,0.03222155743394117
HuMT_only,OA_mean,z_HuMT,-0.08978659532502713,0.021035310761380075,1.969020828457683e-05,-0.1310150468209399,-0.04855814382911436,0.033690113492463314,0.03222155743394117
HuMT_adjusted,OA_mean,Intercept,4.16635433010227,0.03301329611554835,0.0,4.1016494587048395,4.231059201499701,0.3459344846108856,0.3419401913871353
HuMT_adjusted,OA_mean,C(model)[T.glm],-0.034804408089023464,0.02918986137762891,0.23312569007580441,-0.09201548510289284,0.02240666892484592,0.3459344846108856,0.3419401913871353
HuMT_adjusted,OA_mean,C(model)[T.gpt_5_6_sol],0.5891337537124496,0.03657523700805063,2.2616453810871754e-58,0.5174476064506538,0.6608199009742454,0.3459344846108856,0.3419401913871353
HuMT_adjusted,OA_mean,C(source_set)[T.CounselBench-Eval],-0.07515437968217475,0.03668735259741908,0.04051013059988822,-0.14706026946123815,-0.0032484899031113568,0.3459344846108856,0.3419401913871353
HuMT_adjusted,OA_mean,z_HuMT,0.0031564899761976697,0.01861961268719371,0.8653837040631764,-0.03333728029678706,0.0396502602491824,0.3459344846108856,0.3419401913871353
PERSONA_only,OA_mean,Intercept,4.3169696969697,0.012028519175599708,0.0,4.2933942325981755,4.3405451613412245,0.6644293176740773,0.6628946956512454
PERSONA_only,OA_mean,z_E,0.05095629120077157,0.016074710007976917,0.001524565468404504,0.019450438523211246,0.0824621438783319,0.6644293176740773,0.6628946956512454
PERSONA_only,OA_mean,z_D,-0.04261321711986296,0.01355108155691587,0.0016629367176147246,-0.06917284892298303,-0.01605358531674289,0.6644293176740773,0.6628946956512454
PERSONA_only,OA_mean,z_F,0.38251414878028145,0.014411215487374566,3.1091645356632433e-155,0.35426868545158147,0.41075961210898143,0.6644293176740773,0.6628946956512454
Full_adjusted,OA_mean,Intercept,4.27348057008658,0.024680589574724816,0.0,4.225107503402905,4.321853636770255,0.6841231629367013,0.680731847201359
Full_adjusted,OA_mean,C(model)[T.glm],0.005064890352488388,0.02484632070072208,0.8384717290877632,-0.043633003369258884,0.05376278407423566,0.6841231629367013,0.680731847201359
Full_adjusted,OA_mean,C(model)[T.gpt_5_6_sol],0.17779742091659698,0.03669173654919933,1.261613102577225e-06,0.10588293874993433,0.24971190308325963,0.6841231629367013,0.680731847201359
Full_adjusted,OA_mean,C(source_set)[T.CounselBench-Eval],-0.038422949121139874,0.02477826605808863,0.1209804459144027,-0.08698745819434485,0.010141559952065102,0.6841231629367013,0.680731847201359
Full_adjusted,OA_mean,z_HuMT,-0.005771454818250248,0.012366470405788957,0.6407131942995836,-0.03000929142947703,0.018466381792976536,0.6841231629367013,0.680731847201359
Full_adjusted,OA_mean,z_E,0.058423223711746804,0.016792306983022375,0.0005029768958196071,0.025510906807682497,0.09133554061581112,0.6841231629367013,0.680731847201359
Full_adjusted,OA_mean,z_D,-0.030321077424814893,0.0128204920341891,0.018027740379009356,-0.055448780075908186,-0.005193374773721601,0.6841231629367013,0.680731847201359
Full_adjusted,OA_mean,z_F,0.33373111853487303,0.0196851993623332,1.8162961633616653e-64,0.2951488367562091,0.37231340031353694,0.6841231629367013,0.680731847201359
HuMT_only,OA_median,Intercept,4.343939393939403,0.0192598187375562,0.0,4.306190842865023,4.381687945013782,0.039943410321856665,0.038484357753956755
HuMT_only,OA_median,z_HuMT,-0.10230113369189082,0.021258427702541917,1.492311906095817e-06,-0.14396688635682153,-0.0606353810269601,0.039943410321856665,0.038484357753956755
HuMT_adjusted,OA_median,Intercept,4.171205536452295,0.034536440846773556,0.0,4.103515356238421,4.2388957166661685,0.38085442630229205,0.3770733846308556
HuMT_adjusted,OA_median,C(model)[T.glm],-0.018140429904978127,0.02644369188421213,0.49271174264412587,-0.06996911361630802,0.033688253806351764,0.38085442630229205,0.3770733846308556
HuMT_adjusted,OA_median,C(model)[T.gpt_5_6_sol],0.6542480086158584,0.0386195130503234,2.247896903645933e-64,0.5785551539367499,0.7299408632949669,0.38085442630229205,0.3770733846308556
HuMT_adjusted,OA_median,C(source_set)[T.CounselBench-Eval],-0.08646440458302901,0.037749394148238385,0.021993242404220046,-0.16045185755178332,-0.0124769516142747,0.38085442630229205,0.3770733846308556
HuMT_adjusted,OA_median,z_HuMT,-0.0005044985257486867,0.019063522072667833,0.9788871855515852,-0.037868315206662,0.036859318155164626,0.38085442630229205,0.3770733846308556
PERSONA_only,OA_median,Intercept,4.343939393939401,0.011243930120247445,0.0,4.32190169585903,4.365977092019771,0.7327048647593527,0.7314824784701424
PERSONA_only,OA_median,z_E,0.04741255579767435,0.015004423089410279,0.0015782043501979788,0.018004426933628994,0.07682068466171971,0.7327048647593527,0.7314824784701424
PERSONA_only,OA_median,z_D,-0.042509690683694173,0.012275803802160276,0.0005344177500454344,-0.06656982401720818,-0.018449557350180175,0.7327048647593527,0.7314824784701424
PERSONA_only,OA_median,z_F,0.42278806512638767,0.015152697141936147,2.5346883299835008e-171,0.3930893244595498,0.45248680579322553,0.7327048647593527,0.7314824784701424
Full_adjusted,OA_median,Intercept,4.29090393876528,0.023900782097194172,0.0,4.24405926665244,4.33774861087812,0.7544906588341284,0.7518548223492187
Full_adjusted,OA_median,C(model)[T.glm],0.023511249981818493,0.020401023503183287,0.24913438394154264,-0.016474021332175917,0.0634965212958129,0.7544906588341284,0.7518548223492187
Full_adjusted,OA_median,C(model)[T.gpt_5_6_sol],0.1988411588260355,0.0366007582917676,5.550582053672694e-08,0.12710499076731524,0.2705773268847558,0.7544906588341284,0.7518548223492187
Full_adjusted,OA_median,C(source_set)[T.CounselBench-Eval],-0.04638043174270931,0.023509563592018733,0.048514646014435295,-0.09245832967532014,-0.00030253381009848895,0.7544906588341284,0.7518548223492187
Full_adjusted,OA_median,z_HuMT,-0.00973590616709958,0.012662614592095368,0.4419704093538742,-0.03455417471771785,0.015082362383518691,0.7544906588341284,0.7518548223492187
Full_adjusted,OA_median,z_E,0.057271972834444934,0.015605284629801893,0.00024251531132840918,0.026686176991536754,0.08785776867735312,0.7544906588341284,0.7518548223492187
Full_adjusted,OA_median,z_D,-0.0287127115809065,0.011493073623034575,0.012480383938422789,-0.05123872195372154,-0.006186701208091457,0.7544906588341284,0.7518548223492187
Full_adjusted,OA_median,z_F,0.3700863366805669,0.01988117332720229,2.432491613170725e-77,0.33111995298885205,0.40905272037228174,0.7544906588341284,0.7518548223492187
