specification,outcome,r_squared,adjusted_r_squared,aic,bic,cv_r2,cv_rmse,cv_mae
HuMT_only,OA_mean,0.033690113492463536,0.032221557433941395,910.5219075822574,919.5063872522984,0.028026066372413005,0.48226703345869604,0.4170217592034634
HuMT_adjusted,OA_mean,0.3459344846108854,0.34194019138713505,658.9390523517727,681.4002515268751,0.3374852282080225,0.398160386742268,0.30051607071563685
PERSONA_only,OA_mean,0.6644293176740774,0.6628946956512454,216.47161103900112,234.440570379083,0.6541363290744104,0.28768203351238997,0.22114201706559714
Full_adjusted,OA_mean,0.6841231629367012,0.680731847201359,184.5546590328015,220.49257771296527,0.6709331305520729,0.2806094847866318,0.21490906088722456
HuMT_only,OA_median,0.039943410321856665,0.038484357753956755,966.1061151721409,975.0905948421819,0.037483531856748575,0.5021829460085635,0.454061059694074
HuMT_adjusted,OA_median,0.38085442630229194,0.3770733846308555,682.5959207908129,705.0571199659153,0.3742440790135704,0.40491173129778174,0.28269792746226574
PERSONA_only,OA_median,0.7327048647593529,0.7314824784701426,126.20450258504161,144.1734619251235,0.7244585546867257,0.2686899000433938,0.1908624433189329
Full_adjusted,OA_median,0.7544906588341282,0.7518548223492185,78.09234057390859,114.03025925407235,0.7435284350018763,0.2592253602268857,0.18063167742773392
