metric,test,n_prompts,statistic,p_value,kendalls_w,p_holm_across_metrics
HuMT,Friedman paired by prompt,220,53.70909090909072,2.1737975506423127e-12,0.12206611570247891,6.521392651926938e-12
OA,Friedman paired by prompt,220,180.72941176470562,5.689929383388958e-40,0.4107486631016037,2.2759717533555833e-39
E,Friedman paired by prompt,220,10.49117174959881,0.005270732800330957,0.023843572158179113,0.005270732800330957
D,Friedman paired by prompt,220,37.69680111265613,6.519940698781868e-09,0.0856745479833094,1.3039881397563736e-08
F,Friedman paired by prompt,220,197.49612403100767,1.3009528834596028e-43,0.44885482734319926,6.504764417298014e-43
