specification,outcome,term,coefficient,cluster_se,p_value,ci_low,ci_high,r_squared,adjusted_r_squared
HuMT_only,OA_mean,Intercept,4.406363636363645,0.022070228385899247,0.0,4.3631067835967094,4.449620489130581,0.01095394189708443,0.009450832386289632
HuMT_only,OA_mean,z_HuMT,-0.05288159328480571,0.020050339163897805,0.008353407298506674,-0.09217953592385836,-0.013583650645753072,0.01095394189708443,0.009450832386289632
HuMT_adjusted,OA_mean,Intercept,4.502778236610029,0.03432799219583704,0.0,4.435496608244616,4.570059864975441,0.02883402060746587,0.02290323600048849
HuMT_adjusted,OA_mean,C(model)[T.gemini],-0.1468240507384953,0.043709374583977244,0.0007819747361617386,-0.23249285070986112,-0.06115525076712949,0.02883402060746587,0.02290323600048849
HuMT_adjusted,OA_mean,C(model)[T.glm],-0.055689572573420665,0.0433967086843827,0.1993984820132383,-0.14074555864238736,0.02936641349554603,0.02883402060746587,0.02290323600048849
HuMT_adjusted,OA_mean,C(source_set)[T.CounselBench-Eval],-0.06360213011332627,0.04529124050018589,0.16023189314183417,-0.1523713303088325,0.02516707008217993,0.02883402060746587,0.02290323600048849
HuMT_adjusted,OA_mean,z_HuMT,-0.04283300223796299,0.02026872445230457,0.034578868110710335,-0.08255897217704627,-0.0031070322988797014,0.02883402060746587,0.02290323600048849
PERSONA_only,OA_mean,Intercept,4.406363636363641,0.01939285872007933,0.0,4.368354331715012,4.444372941012269,0.1078082124994536,0.10372806712978644
PERSONA_only,OA_mean,z_E,0.006550340028113902,0.01892064596311569,0.7291919223997441,-0.03053344462382602,0.04363412468005382,0.1078082124994536,0.10372806712978644
PERSONA_only,OA_mean,z_D,-0.024849386828284963,0.020781737262838336,0.23180118643138536,-0.06558084339962211,0.01588206974305218,0.1078082124994536,0.10372806712978644
PERSONA_only,OA_mean,z_F,0.1632592316253596,0.023980259620428598,9.891829749381488e-12,0.11625878642939941,0.2102596768213198,0.1078082124994536,0.10372806712978644
Full_adjusted,OA_mean,Intercept,4.46188132325815,0.034901546151793646,0.0,4.3934755497958715,4.5302870967204285,0.1245106378863643,0.11511121221950005
Full_adjusted,OA_mean,C(model)[T.gemini],-0.08885174327181368,0.04416229536153489,0.044226608956896965,-0.17540825165504237,-0.0022952348885850044,0.1245106378863643,0.11511121221950005
Full_adjusted,OA_mean,C(model)[T.glm],-0.035836258508076924,0.04445610189181716,0.4201826655780113,-0.12296861710908152,0.05129610009292768,0.1245106378863643,0.11511121221950005
Full_adjusted,OA_mean,C(source_set)[T.CounselBench-Eval],-0.030701043196008748,0.03948128297292036,0.43679892296876355,-0.10808293588636714,0.04668084949434964,0.1245106378863643,0.11511121221950005
Full_adjusted,OA_mean,z_HuMT,-0.04917196026798104,0.019841320103655358,0.013202470664174003,-0.08806023307687608,-0.010283687459086005,0.1245106378863643,0.11511121221950005
Full_adjusted,OA_mean,z_E,0.017183510549597956,0.02066830381900193,0.40575090264756564,-0.023325620557177483,0.057692641656373396,0.1245106378863643,0.11511121221950005
Full_adjusted,OA_mean,z_D,-0.016468183960903382,0.021051170860179484,0.4340423898342356,-0.05772772067925424,0.024791352757447475,0.1245106378863643,0.11511121221950005
Full_adjusted,OA_mean,z_F,0.15816925293072495,0.023970804244164288,4.155838015294216e-11,0.11118733993170307,0.20515116592974683,0.1245106378863643,0.11511121221950005
HuMT_only,OA_median,Intercept,4.546969696969706,0.024496306614208586,0.0,4.498957818251607,4.594981575687805,0.01697076628877703,0.015476800888000075
HuMT_only,OA_median,z_HuMT,-0.07163050771881525,0.020922104406455335,0.0006178022076508979,-0.11263707883625448,-0.03062393660137603,0.01697076628877703,0.015476800888000075
HuMT_adjusted,OA_median,Intercept,4.640707870997902,0.03812505124602325,0.0,4.565984143646952,4.715431598348852,0.0368291131804257,0.03094715356626032
HuMT_adjusted,OA_median,C(model)[T.gemini],-0.1715371951965559,0.048039225360048635,0.00035592851949028476,-0.26569234674745446,-0.07738204364565737,0.0368291131804257,0.03094715356626032
HuMT_adjusted,OA_median,C(model)[T.glm],-0.03737264945013985,0.04547693611831479,0.41119444692346263,-0.12650580636926562,0.0517605074689859,0.0368291131804257,0.03094715356626032
HuMT_adjusted,OA_median,C(source_set)[T.CounselBench-Eval],-0.05302343012114691,0.05081970669957554,0.2967799436239492,-0.15262822495720385,0.04658136471491005,0.0368291131804257,0.03094715356626032
HuMT_adjusted,OA_median,z_HuMT,-0.06077908389737269,0.021378429646174795,0.004468970345318458,-0.10268003604989866,-0.01887813174484672,0.0368291131804257,0.03094715356626032
PERSONA_only,OA_median,Intercept,4.5469696969696995,0.02148234190241991,0.0,4.504865080537381,4.589074313402018,0.10902609485950743,0.10495151907380396
PERSONA_only,OA_median,z_E,0.0023618420384484418,0.020999301080482913,0.9104488431272297,-0.03879603177981111,0.043519715856708,0.10902609485950743,0.10495151907380396
PERSONA_only,OA_median,z_D,-0.029502790211388005,0.022014711974067357,0.18019992080129144,-0.07265083281058271,0.013645252387806693,0.10902609485950743,0.10495151907380396
PERSONA_only,OA_median,z_F,0.17768091815774567,0.025113082986164527,1.491976621876244e-12,0.12846017996409761,0.22690165635139373,0.10902609485950743,0.10495151907380396
Full_adjusted,OA_median,Intercept,4.5962166728683,0.0386050183283771,0.0,4.520552227322172,4.6718811184144275,0.1328735271057666,0.12356388705935606
Full_adjusted,OA_median,C(model)[T.gemini],-0.10894446420339955,0.04892681312260874,0.025968520449719614,-0.20483925580203438,-0.013049672604764723,0.1328735271057666,0.12356388705935606
Full_adjusted,OA_median,C(model)[T.glm],-0.016065049487691385,0.04751429162689763,0.735280416353233,-0.1091913498273438,0.07706125085196103,0.1328735271057666,0.12356388705935606
Full_adjusted,OA_median,C(source_set)[T.CounselBench-Eval],-0.0166697036034604,0.04448451031617839,0.7078608931256731,-0.10385774169307053,0.07051833448614973,0.1328735271057666,0.12356388705935606
Full_adjusted,OA_median,z_HuMT,-0.06696517821726924,0.020463104352983985,0.0010660696836455096,-0.10707212576100267,-0.026858230673535828,0.1328735271057666,0.12356388705935606
Full_adjusted,OA_median,z_E,0.015912661674732397,0.02274824817698696,0.4842324157831436,-0.028673085463540984,0.06049840881300578,0.1328735271057666,0.12356388705935606
Full_adjusted,OA_median,z_D,-0.017738085854257776,0.022163085914774113,0.42351169920117515,-0.061176936033481996,0.025700764324966444,0.1328735271057666,0.12356388705935606
Full_adjusted,OA_median,z_F,0.1724203056327487,0.02516256932352702,7.269554490811893e-12,0.12310257600014335,0.22173803526535407,0.1328735271057666,0.12356388705935606
