term,coefficient,cluster_se,p_raw,ci_low,ci_high,p_fdr
z_E:C(scenario_analysis)[T.crisis_risk],0.07551163048420821,0.05567589679647478,0.17501280893778204,-0.03361112204385132,0.18463438301226776,0.6485996247851218
z_E:C(scenario_analysis)[T.general_distress],0.03924758773207117,0.04505582412772268,0.3837061057049117,-0.04906020485203608,0.1275553803161784,0.6485996247851218
z_E:C(scenario_analysis)[T.psychoeducation],0.024730580754685184,0.05032921173393662,0.6231603388329856,-0.07391286161412128,0.12337402312349163,0.6485996247851218
z_D:C(scenario_analysis)[T.crisis_risk],-0.02502786699414371,0.04637053744823386,0.5893788327376992,-0.11591245033644794,0.06585671634816052,0.6485996247851218
z_D:C(scenario_analysis)[T.general_distress],0.03084465873232471,0.039463911821604934,0.4344546734919078,-0.04650318712708544,0.10819250459173486,0.6485996247851218
z_D:C(scenario_analysis)[T.psychoeducation],-0.020404026843913334,0.044774297244708515,0.6485996247851218,-0.108160036876633,0.06735198318880634,0.6485996247851218
