model,n,mean_S,sd_S,mean_S_persona,mean_OA,mean_H,mean_E,mean_D,mean_F,rank_by_S,rank_by_OA
gpt_5_6_sol,220,2.3130852600216074,0.2509893027750663,2.210909090909091,4.72,2.619613767359157,3.6818181818181817,1.819090909090909,4.7700000000000005,1,1
claude_opus_4_8,220,2.1895877785133657,0.23901897577893685,1.9296969696969695,4.132727272727272,2.969260204962553,3.8727272727272726,2.2536363636363634,4.170000000000001,2,2
glm,220,2.1522052602489192,0.28086231877237333,1.8636363636363635,4.098181818181819,3.017911950086586,3.6545454545454548,2.2054545454545456,4.141818181818182,3,3
