specification,outcome,term,coefficient,cluster_se,p_value,ci_low,ci_high,r_squared,adjusted_r_squared
HuMT_only,OA_mean,Intercept,4.406363636363645,0.022070228385899247,0.0,4.3631067835967094,4.449620489130581,0.01095394189708443,0.009450832386289632
HuMT_only,OA_mean,z_HuMT,-0.05288159328480571,0.020050339163897805,0.008353407298506674,-0.09217953592385836,-0.013583650645753072,0.01095394189708443,0.009450832386289632
HuMT_adjusted,OA_mean,Intercept,4.502778236610029,0.03432799219583704,0.0,4.435496608244616,4.570059864975441,0.02883402060746587,0.02290323600048849
HuMT_adjusted,OA_mean,C(model)[T.gemini],-0.1468240507384953,0.043709374583977244,0.0007819747361617386,-0.23249285070986112,-0.06115525076712949,0.02883402060746587,0.02290323600048849
HuMT_adjusted,OA_mean,C(model)[T.glm],-0.055689572573420665,0.0433967086843827,0.1993984820132383,-0.14074555864238736,0.02936641349554603,0.02883402060746587,0.02290323600048849
HuMT_adjusted,OA_mean,C(source_set)[T.CounselBench-Eval],-0.06360213011332627,0.04529124050018589,0.16023189314183417,-0.1523713303088325,0.02516707008217993,0.02883402060746587,0.02290323600048849
HuMT_adjusted,OA_mean,z_HuMT,-0.04283300223796299,0.02026872445230457,0.034578868110710335,-0.08255897217704627,-0.0031070322988797014,0.02883402060746587,0.02290323600048849
PERSONA_only,OA_mean,Intercept,4.406363636363641,0.017395937577016563,0.0,4.3722682252353815,4.4404590474919,0.29017028186074145,0.28692410936925095
PERSONA_only,OA_mean,z_E,0.22316631163105474,0.01900768175263517,7.869295824225348e-32,0.18591193996629063,0.26042068329581886,0.29017028186074145,0.28692410936925095
PERSONA_only,OA_mean,z_D,-0.05200003451187585,0.017359480476815306,0.002740102716460961,-0.08602399103676006,-0.01797607798699164,0.29017028186074145,0.28692410936925095
PERSONA_only,OA_mean,z_F,0.11220796555184345,0.019332476088557517,6.4705835613341984e-09,0.07431700868628895,0.15009892241739797,0.29017028186074145,0.28692410936925095
Full_adjusted,OA_mean,Intercept,4.448171234738016,0.03168949369332905,0.0,4.386060968410782,4.51028150106525,0.2993679536908693,0.2918458304942989
Full_adjusted,OA_mean,C(model)[T.gemini],-0.022400733862419434,0.039812235299370204,0.5736667425532296,-0.10043128119321924,0.055629813468380376,0.2993679536908693,0.2918458304942989
Full_adjusted,OA_mean,C(model)[T.glm],-0.0591152818139809,0.03911388896707627,0.13069600876488752,-0.13577709548474898,0.017546531856787173,0.2993679536908693,0.2918458304942989
Full_adjusted,OA_mean,C(source_set)[T.CounselBench-Eval],-0.032198304927605864,0.03567784273314822,0.366805432212415,-0.10212559173066045,0.03772898187544872,0.2993679536908693,0.2918458304942989
Full_adjusted,OA_mean,z_HuMT,-0.036910934459444975,0.017248261301646424,0.03235638196052652,-0.07071690540660791,-0.0031049635122820315,0.2993679536908693,0.2918458304942989
Full_adjusted,OA_mean,z_E,0.22299647685669094,0.019145602992308955,2.3656952640026574e-31,0.1854717845294631,0.26052116918391877,0.2993679536908693,0.2918458304942989
Full_adjusted,OA_mean,z_D,-0.047671062658846415,0.017929731693330214,0.00784260936057738,-0.08281269103024,-0.012529434287452838,0.2993679536908693,0.2918458304942989
Full_adjusted,OA_mean,z_F,0.10989278343848269,0.019571885314395628,1.9675706411765297e-08,0.07153259311271887,0.1482529737642465,0.2993679536908693,0.2918458304942989
HuMT_only,OA_median,Intercept,4.546969696969706,0.024496306614208586,0.0,4.498957818251607,4.594981575687805,0.01697076628877703,0.015476800888000075
HuMT_only,OA_median,z_HuMT,-0.07163050771881525,0.020922104406455335,0.0006178022076508979,-0.11263707883625448,-0.03062393660137603,0.01697076628877703,0.015476800888000075
HuMT_adjusted,OA_median,Intercept,4.640707870997902,0.03812505124602325,0.0,4.565984143646952,4.715431598348852,0.0368291131804257,0.03094715356626032
HuMT_adjusted,OA_median,C(model)[T.gemini],-0.1715371951965559,0.048039225360048635,0.00035592851949028476,-0.26569234674745446,-0.07738204364565737,0.0368291131804257,0.03094715356626032
HuMT_adjusted,OA_median,C(model)[T.glm],-0.03737264945013985,0.04547693611831479,0.41119444692346263,-0.12650580636926562,0.0517605074689859,0.0368291131804257,0.03094715356626032
HuMT_adjusted,OA_median,C(source_set)[T.CounselBench-Eval],-0.05302343012114691,0.05081970669957554,0.2967799436239492,-0.15262822495720385,0.04658136471491005,0.0368291131804257,0.03094715356626032
HuMT_adjusted,OA_median,z_HuMT,-0.06077908389737269,0.021378429646174795,0.004468970345318458,-0.10268003604989866,-0.01887813174484672,0.0368291131804257,0.03094715356626032
PERSONA_only,OA_median,Intercept,4.5469696969696995,0.019172211785129678,0.0,4.509392852366871,4.584546541572528,0.3111219467429528,0.30797158979208206
PERSONA_only,OA_median,z_E,0.25556425504027713,0.019816777005803858,4.718753631454658e-38,0.21672408581924008,0.2944044242613142,0.3111219467429528,0.30797158979208206
PERSONA_only,OA_median,z_D,-0.061852107869820976,0.0185172808916416,0.000837069045176429,-0.09814531150905026,-0.0255589042305917,0.3111219467429528,0.30797158979208206
PERSONA_only,OA_median,z_F,0.11961471278310405,0.020800169007912345,8.889540369698437e-09,0.07884713065524962,0.16038229491095848,0.3111219467429528,0.30797158979208206
Full_adjusted,OA_median,Intercept,4.580462107311672,0.03401150164930152,0.0,4.513800789018917,4.647123425604428,0.3226181487705496,0.3153456442328101
Full_adjusted,OA_median,C(model)[T.gemini],-0.03272911090137447,0.04346289795918366,0.4514285014355003,-0.11791482556511386,0.052456603762364926,0.3226181487705496,0.3153456442328101
Full_adjusted,OA_median,C(model)[T.glm],-0.042032886128798186,0.04085709047703923,0.3035838885194766,-0.1221113119768895,0.03804553971929313,0.3226181487705496,0.3153456442328101
Full_adjusted,OA_median,C(source_set)[T.CounselBench-Eval],-0.01885783826355425,0.03975378664791514,0.6352390506158676,-0.0967738283425572,0.0590581518154487,0.3226181487705496,0.3153456442328101
Full_adjusted,OA_median,z_HuMT,-0.05393908770288543,0.017532722628276046,0.0020945966522775347,-0.08830259260523692,-0.01957558280053394,0.3226181487705496,0.3153456442328101
Full_adjusted,OA_median,z_E,0.2525576705402993,0.019974406159213108,1.2065275084835912e-36,0.2134085538556666,0.29170678722493204,0.3226181487705496,0.3153456442328101
Full_adjusted,OA_median,z_D,-0.05385171671199422,0.019054239675196764,0.0047099023587648245,-0.09119734022817405,-0.016506093195814385,0.3226181487705496,0.3153456442328101
Full_adjusted,OA_median,z_F,0.11804616173548634,0.021134615732454527,2.3310712516434235e-08,0.07662307607278185,0.15946924739819082,0.3226181487705496,0.3153456442328101
