model,metric,n_prompts,mean_v1,mean_v2,mean_difference_v2_minus_v1,median_difference_v2_minus_v1,wilcoxon_statistic,p_raw,p_holm_within_model
claude_opus_4_8,HuMT,220,0.054178444602272696,0.053524017095565764,-0.0006544275067069341,-0.0019167101383211031,11480.0,0.47514136363434334,0.47514136363434334
claude_opus_4_8,OA,220,4.478181818181818,4.132727272727273,-0.34545454545454535,-0.40000000000000036,3588.5,5.676655327200171e-14,2.2706621308800684e-13
claude_opus_4_8,E,220,3.517272727272727,3.8727272727272726,0.35545454545454547,0.20000000000000018,3394.5,6.268080756892113e-11,1.880424227067634e-10
claude_opus_4_8,D,220,1.5227272727272725,2.253636363636364,0.730909090909091,0.8,1574.0,6.898466817739683e-24,3.4492334088698416e-23
claude_opus_4_8,F,220,4.286363636363636,4.170000000000001,-0.11636363636363627,0.0,6675.0,0.004173648237680315,0.00834729647536063
glm,HuMT,220,0.055444888483394246,0.055329514601013825,-0.00011537388238040889,-6.925344467155134e-05,12083.0,0.9392800279494735,0.9392800279494735
glm,OA,220,4.42,4.098181818181819,-0.3218181818181817,-0.3999999999999997,4027.0,1.2826670548665329e-12,5.1306682194661316e-12
glm,E,220,3.5463636363636364,3.6545454545454548,0.10818181818181817,0.0,5967.5,0.04191368261765863,0.1257410478529759
glm,D,220,1.45,2.2054545454545456,0.7554545454545454,0.8,1298.0,4.510945315428763e-24,2.2554726577143815e-23
glm,F,220,4.223636363636364,4.141818181818182,-0.08181818181818175,0.0,6637.5,0.14169986367952722,0.28339972735905444
