domain,model,n,OA_mean,OA_sd,E_mean,E_sd,D_mean,D_sd,F_mean,F_sd,H_mean,H_sd
education,claude_opus_4_8,149,4.4550335570469795,0.46838368448670686,2.6778523489932886,0.6688883110403948,1.2134228187919465,0.5345695057733948,4.119463087248322,0.38828762193052013,0.030902807856566072,0.01669151958578807
education,glm,149,4.259060402684563,0.6394691023132786,2.3288590604026846,0.616035197969198,1.2268456375838928,0.6483483040068382,4.012080536912752,0.54635311219001,0.03227094360645982,0.026284127910063147
education,gpt_5_6,149,4.27248322147651,0.5483216481082491,2.1073825503355703,0.42650274225719964,1.0845637583892618,0.5014472072418431,4.012080536912752,0.45394855519901955,0.026701711744270013,0.0393385479412705
health,claude_opus_4_8,141,4.8822695035461,0.24850515600953477,2.6567375886524824,0.9409193805254675,1.2765957446808511,0.5834182887911971,4.238297872340426,0.6480365481831677,0.03635979349731554,0.021884607037468643
health,glm,141,4.788652482269504,0.5970274220289287,2.506382978723404,0.8663727971884889,1.3418439716312056,0.7447104929691801,4.14468085106383,0.7119816943789349,0.029028321749775127,0.023442380612856615
health,gpt_5_6,141,4.887943262411348,0.23466546927943574,2.348936170212766,0.8205936023284429,1.2368794326241135,0.5454239959514761,4.167375886524822,0.7069548837797934,0.026101182168417558,0.022581415703538544
mental_health,claude_opus_4_8,220,4.132727272727272,0.3733371879063303,3.8727272727272726,0.5119412585647288,2.2536363636363634,0.6799378527506429,4.170000000000001,0.3725881342826408,0.053524017095565764,0.020544538658304096
mental_health,glm,220,4.098181818181819,0.4364618680079505,3.6545454545454548,0.621624967857772,2.2054545454545456,0.7429223259529464,4.141818181818182,0.4581841902328447,0.055329514601013825,0.021790724588530194
mental_health,gpt_5_6,220,4.72,0.38196798737459065,3.6818181818181817,0.5864811586399017,1.819090909090909,0.7816380709059537,4.7700000000000005,0.3529523232190906,0.04054841325499791,0.020787985897077966
