model,term,coef,std_err,t,p,ci_low,ci_high
M1_HuMT,const,3.6882332144565266,0.10155838416705568,36.31638337598665,2.5063476020062596e-159,3.4888156302417133,3.88765079867134
M1_HuMT,HuMT,9.159273297717059,1.6806900180419588,5.449710059198076,7.1390741238428e-08,5.859111071223104,12.459435524211013
M2_HuMT_E,const,1.3848100692860625,0.09418524299902412,14.703047156765429,1.628750363224836e-42,1.1998696878358417,1.5697504507362834
M2_HuMT_E,HuMT,1.4265653334189774,1.0632056746158252,1.3417585773650496,0.18013783360543228,-0.6611254423592126,3.5142561091971674
M2_HuMT_E,E,0.8285750323874779,0.025300215031039464,32.749722932036114,3.206320221582999e-140,0.7788960033843725,0.8782540613905833
M3_HuMT_E_D,const,1.610943049860093,0.16697641678930683,9.647727989592706,1.0992398299209664e-20,1.2830703586774428,1.9388157410427431
M3_HuMT_E_D,HuMT,1.3477765140009397,1.0629309316077924,1.267981271334619,0.2052544796973967,-0.7393806533928138,3.434933681394693
M3_HuMT_E_D,E,0.8295526260458226,0.025274838712023174,32.82128267948973,1.5677592418845998e-140,0.7799232858847205,0.8791819662069247
M3_HuMT_E_D,D,-0.21992530194382998,0.1341728609481712,-1.6391191213309786,0.10166790845295917,-0.48338536324255604,0.04353475935489609
M4_HuMT_E_D_F,const,-1.6403400572087556,0.12730403409004756,-12.88521663067231,5.067834335011254e-34,-1.8903132860277991,-1.3903668283897122
M4_HuMT_E_D_F,HuMT,0.9706039902368975,0.5969386804821324,1.6259693365036505,0.1044371730737263,-0.2015402425338355,2.1427482230076302
M4_HuMT_E_D_F,E,0.7747115779372624,0.014266416422560957,54.303165910125195,1.036649234412189e-244,0.7466981516360813,0.8027250042384435
M4_HuMT_E_D_F,D,-0.14162984003031232,0.07536903973013831,-1.879151446501419,0.060667597722914614,-0.2896239106738785,0.006364230613253835
M4_HuMT_E_D_F,F,0.8336552196501227,0.02207988085804324,37.756327808555156,1.5552200308082905e-166,0.7902993342732243,0.8770111050270211
